PROLIFIC_PID	Task	word_1	word_2	word_3	word_4	word_5	word_6	word_7	word_8	word_9	word_10	word_11	word_12	word_13	word_14	word_15	word_16	word_17	word_18	word_19	word_20
6392 0	CFA	equestrienne	horsewoman	horseman	racehorse	stallion	horse	thoroughbred	equine	equestrian	dressage	horsemanship	pony	palomino	appaloosa	roan	mare	geld	colt	trotter	filly
6392 2	CFA	dendrite	axon	neuron	synapsis	synapse	cortex	cerebellum	brain	neural	cortical	thalamus	hypothalamus	neurotransmitter	dopamine	receptor	protein	molecule	enzyme	gene	phenotype
6392 3	CFA	confront	discover	realize	convince	enlist	learn	befriend	seduce	kidnap	persuade	pretend	decide	ask	pester	abandon	flee	vanishe	disappear	reappear	resurface
6392 4	CFA	deem	declare	decreed	decree	proclaim	annointe	annoint	anoint	appoint	reappoint	nominate	reappointe	elect	reelect	reelection	election	incumbent	unopposed	incumbant	unseat
6392 5	CFA	duct	vent	louver	louvere	louvre	casement	jamb	mullion	pilaster	lintel	balustrade	baluster	wainscotting	wainscot	wainscote	panel	molding	valance	edging	bevel
6392 6	CFA	vaquita	specie	subspecie	genus	genera	lineage	placental	phyla	phylum	echinoderm	protozoan	flatfish	fauna	mammal	vertebrate	mammalian	arthropod	insectivore	insectivorous	herbivorous
6392 7	CFA	deputize	understudy	sub	substitute	replace	replacement	successor	figurehead	rein	reign	helm	directorship	resign	resignation	ouster	oust	depose	unseat	topple	overthrow
6392 8	CFA	industriousness	tenacity	doggedness	fortitude	determination	perseverance	courage	bravery	heroism	valor	gallantry	valorous	heroic	courageous	selfless	selflessness	kindness	compassion	humility	humbleness
6392 10	CFA	tinker	tweak	alter	modify	change	adjust	adapt	readjust	reassess	rethink	reexamine	reevaluate	reappraise	revisit	reconsider	reinstate	rescind	revoke	suspend	defer
6392 11	CFA	bow	arrow	dagger	sword	rapier	mace	broadsword	scabbard	scimitar	breastplate	halberd	hilt	spear	lance	harpoon	awl	fishhook	blowgun	blunderbuss	spearman
6392 12	CFA	abaft	whereat	midmost	aslant	neath	ere	altho	noh	durante	withal	ursula	marianne	elinor	elizabeth	lydia	lizzy	mrs	catherine	cohen	armstrong
6392 13	CFA	cadre	maoist	ultra	miscreant	hoodlum	thug	goon	gangster	bandit	robber	assailant	attacker	gunman	militiaman	guerrilla	militant	rebel	insurgent	guerilla	militia
6392 14	CFA	pigeon	rabbit	pig	swine	cattle	hog	chicken	poultry	livestock	cow	sheep	goat	animal	calf	lamb	ewes	ewe	heifer	piglet	farrow
6392 15	CFA	bot	robot	robotic	humanoid	cybernetic	nanobot	droid	android	monster	beastie	undead	zombie	vampire	werewolf	vamp	supernatural	minotaur	orc	goblin	orcs
6392 16	CFA	theatrically	theatrical	production	staging	repertory	opera	operetta	operatic	orchestral	symphonic	orchestra	symphony	chorale	choral	choir	soloist	soprano	violinist	cello	oboe
6392 17	CFA	buff	enthusiast	fanatic	aficionado	lover	connoisseur	gourmand	epicure	epicurean	gourmet	diner	restaurateur	restauranteur	eatery	restaurant	bistro	cuisine	delicacy	dish	dessert
6392 18	CFA	ninetieth	eightieth	seventieth	thirtieth	tenth	fourteenth	thirteenth	eighteenth	fifteenth	nineteenth	eleventh	fifth	eighth	twelfth	seventh	sixth	ninth	seventeenth	fourth	third
6392 19	CFA	pocketful	haversack	bedroll	blanket	pillow	mattress	bed	comforter	linen	tablecloth	lampshade	rug	sofas	settee	othman	chaise	divan	headboard	bedstead	washstand
6392 20	CFA	sigh	murmur	mutter	whisper	mumbling	mumble	babble	jabber	yack	yakking	yammer	yap	natter	prattle	pontificate	whine	moan	bleat	bitch	bellyache
6392 21	CFA	compromise	jeopardize	imperil	threaten	devastate	cripple	undermine	hamper	complicate	impede	impair	hinder	endanger	affect	detrimental	damage	harm	hurt	injure	disrupt
6392 22	CFA	nocturne	fugue	mazurkas	polonaise	scherzo	toccata	mazurka	gigue	adagio	allegro	cadenza	pizzicato	pizzicatos	glissandi	pizzicati	tremolos	glissando	arpeggio	pianissimo	legato
6392 23	CFA	wordy	snarkier	wonkier	pithier	witty	slyer	handsomer	sassy	bitchier	naughtier	raunchy	funnier	sillier	weirder	goofier	lamer	stupider	cuter	cleverer	sexier
6392 24	CFA	leed	fulham	blackburn	bolton	chelsea	liverpool	pompey	gerrard	torre	defoe	hargreave	rooney	ronaldinho	barcelona	madrid	milan	juventus	mancini	ranieri	raul
6392 25	CFA	recapitalization	refinance	repayment	repay	loan	lender	borrower	mortgage	lend	borrow	borrowing	debt	indebtedness	liability	receivables	receivable	prepayment	amortize	unamortized	amortization
6392 26	CFA	snuggle	cuddle	nuzzle	caress	stroke	rub	pat	slap	kiss	smooch	cavort	loll	prance	lounge	laze	frolic	gambol	amble	saunter	stroll
6392 27	CFA	insincerity	sincerity	genuineness	veracity	falsity	falsehood	untruth	truth	falseness	hollowness	duplicity	mendacity	hypocrisy	shamelessness	perfidy	venality	arrogance	stupidity	idiocy	ignorance
